ID,都道府県,市区,緯度,経度
1,北海道,札幌市,43.06417,141.34694
2,青森県,青森市,40.82444,140.74
3,岩手県,盛岡市,39.70361,141.1525
4,宮城県,仙台市,38.26889,140.87194
5,秋田県,秋田市,39.71861,140.1025
6,山形県,山形市,38.24056,140.36333
7,福島県,福島市,37.75,140.46778
8,茨城県,水戸市,36.34139,140.44667
9,栃木県,宇都宮市,36.56583,139.88361
10,群馬県,前橋市,36.39111,139.06083
11,埼玉県,さいたま市,35.85694,139.64889
12,千葉県,千葉市,35.60472,140.12333
13,東京都,新宿区,35.68944,139.69167
14,神奈川県,横浜市,35.44778,139.6425
15,新潟県,新潟市,37.90222,139.02361
16,富山県,富山市,36.69528,137.21139
17,石川県,金沢市,36.59444,136.62556
18,福井県,福井市,36.06528,136.22194
19,山梨県,甲府市,35.66389,138.56833
20,長野県,長野市,36.65139,138.18111
21,岐阜県,岐阜市,35.39111,136.72222
22,静岡県,静岡市,34.97694,138.38306
23,愛知県,名古屋市,35.18028,136.90667
24,三重県,津市,34.73028,136.50861
25,滋賀県,大津市,35.00444,135.86833
26,京都府,京都市,35.02139,135.75556
27,大阪府,大阪市,34.68639,135.52
28,兵庫県,神戸市,34.69139,135.18306
29,奈良県,奈良市,34.68528,135.83278
30,和歌山県,和歌山市,34.22611,135.1675
31,鳥取県,鳥取市,35.50361,134.23833
32,島根県,松江市,35.47222,133.05056
33,岡山県,岡山市,34.66167,133.935
34,広島県,広島市,34.39639,132.45944
35,山口県,山口市,34.18583,131.47139
36,徳島県,徳島市,34.06583,134.55944
37,香川県,高松市,34.34028,134.04333
38,愛媛県,松山市,33.84167,132.76611
39,高知県,高知市,33.55972,133.53111
40,福岡県,福岡市,33.60639,130.41806
41,佐賀県,佐賀市,33.24944,130.29889
42,長崎県,長崎市,32.74472,129.87361
43,熊本県,熊本市,32.78972,130.74167
44,大分県,大分市,33.23806,131.6125
45,宮崎県,宮崎市,31.91111,131.42389
46,鹿児島県,鹿児島市,31.56028,130.55806
47,沖縄県,那覇市,26.2125,127.68111
